city,locality_lower,n,real_p25,real_p75,real_median
Pune,bavdhan,35,7529.344691126165,9382.372677827223,8310.249307479224
Bangalore,kengeri satellite town,35,4541.666666666666,8377.192982456141,5121.951219512195
Bangalore,mattanahalli,35,4660.9477124183,7128.400121947088,5829.903978052126
Kolkata,new town,35,4610.416666666666,7840.868691932522,5613.77245508982
Mumbai,kandivali west,35,15092.409240924093,22587.535014005603,17692.30769230769
Pune,lohegaon,34,3644.0137852893968,5874.530663329161,4556.523022432113
Pune,rahatani,33,6875.0,8333.333333333334,7455.621301775148
Chennai,ambattur,33,5000.0,5957.446808510638,5692.307692307692
Pune,dhanori,33,5185.185185185185,6500.0,6000.0
Pune,katraj,33,5128.205128205128,7142.857142857143,5952.380952380952
Bangalore,vijayanagar,33,6944.444444444444,15000.0,8937.5
Bangalore,thanisandra,33,5454.545454545455,7765.531062124249,6710.526315789473
Mumbai,chembur,32,16528.76928644274,23361.11111111111,19058.29821392735
Mumbai,powai,32,17272.727272727272,25033.42245989305,19026.32597754549
Kolkata,barasat,31,2492.063492063492,3775.74161082023,3125.0
Pune,shivane,31,3921.568627450981,5103.169108880427,4522.184300341297
Pune,narhe,31,4515.151515151516,6323.5376907054,5043.478260869565
Delhi NCR,uttam nagar,30,4750.0,6979.166666666666,5677.777777777777
Delhi NCR,dilshad garden,30,6708.333333333334,11300.0,8293.650793650795
Kolkata,narendrapur,30,3500.0,5104.37508336668,4117.64705882353
Delhi NCR,palam,30,5606.060606060606,11055.396370582617,6666.666666666667
Delhi NCR,burari,30,3341.478696741855,7254.947433518862,4761.9047619047615
Mumbai,andheri east,30,18752.631578947367,24524.03846153846,20141.577347624378
Pune,chikhali,30,5109.350499298506,5809.265582111535,5549.817220191335
Pune,ambegaon budruk,29,4724.4094488188975,7082.152974504249,6201.550387596899
Pune,bhosari,29,5062.305295950156,9000.0,6140.350877192983
Delhi NCR,mehrauli,29,3030.3030303030305,8571.42857142857,4090.909090909091
Mumbai,dahisar east,29,14800.0,19523.809523809523,16666.666666666668
Mumbai,nalasopara west,29,4909.090909090909,6410.25641025641,5932.203389830508
Mumbai,vasai east,29,4933.333333333333,6105.263157894737,5714.285714285715
Pune,baner,28,7528.114767081398,9241.659232827833,8445.796396083202
Bangalore,kasavanahalli,28,6258.264263353146,6373.2545649838885,6265.256305939788
Pune,chinchwad,28,5619.538997587778,7308.973693319487,6698.717948717949
Pune,ambegaon pathar,28,3626.0,5013.157894736842,4608.932461873638
Mumbai,ghatkopar west,28,15423.076923076922,19889.70588235294,18000.0
Pune,undri,27,4646.1782137747805,6552.390149686142,6086.95652173913
Chennai,perambur,27,6666.666666666667,10880.952380952382,8125.0
Bangalore,varthur,27,3777.7777777777783,6291.715016994625,4700.0
Pune,kalewadi,27,5892.857142857143,7596.153846153846,6293.706293706294
Pune,ambegaon,27,3486.5319865319866,6283.585815453745,4424.778761061947
Bangalore,kaggadasapura,27,4316.770186335403,5329.286239882266,4779.411764705882
Bangalore,hampapura,27,4180.381957922522,7498.296228986825,5935.754189944134
Bangalore,lingadheeranahalli,27,5594.679186228483,8261.363636363636,6486.486486486487
Pune,hinjewadi phase 3,27,5345.311661204041,8229.348239866964,7063.572149344097
Bangalore,kaval bairasandra,26,4701.945525291829,7956.896551724139,5371.541501976284
Bangalore,mathikere,26,6112.737642585551,10000.0,7552.024746906636
Bangalore,nelamangala,26,4166.666666666667,5729.889969020403,4667.726550079491
Kolkata,baranagar,26,3545.1388888888887,4741.071428571428,3891.252955082742
Mumbai,goregaon east,26,12271.942800788956,19021.739130434784,17994.152046783624
Chennai,veppampattu,26,3756.9444444444443,4082.3877353935295,3921.6489216489217
Delhi NCR,sangam vihar,26,4611.290322580646,9375.0,7370.37037037037
Pune,pimple nilakh,26,6292.22972972973,9236.213235294117,7184.130423567043
Mumbai,nalasopara east,26,3438.4615384615386,6250.0,5427.573358174197
Bangalore,anjanapura township,25,4000.0,5250.0,4545.454545454545
Kolkata,tollygunge,25,4666.666666666667,7272.727272727273,6086.95652173913
Bangalore,vidyaranyapura,25,4634.920634920635,6562.5,5289.256198347108
Pune,kharadi,25,6957.328385899815,9047.619047619048,8483.033932135728
Bangalore,kothanur,25,5000.0,7461.139896373057,6321.83908045977
Bangalore,hennur,25,4600.9389671361505,7777.777777777777,5471.380471380471
Pune,manjari budruk,24,4014.0186915887853,8187.5,6115.577268618964
Bangalore,hoskote,24,3436.743341404358,4826.589595375723,3851.8054823405378
Mumbai,naigaon east,24,5184.426229508197,7655.128205128205,6212.5965250965255
Bangalore,rajajinagar,24,6215.277777777777,13125.236832133383,9804.356595401372
Pune,kirkatwadi,24,4520.565775772302,5401.66556436668,4960.629921259842
Bangalore,begur,24,4632.510346796061,7114.911080711354,5041.596638655463
Chennai,avadi,24,4496.047430830039,5578.354125629241,4822.179074397228
Mumbai,kandivali east,24,16197.541845233281,20519.597730789064,18484.71986417657
Mumbai,mulund west,24,16252.047502047502,21541.666666666668,18437.08609271523
Bangalore,sunkadakatte,24,4893.0649745637975,7437.888198757764,6201.449479313256
Pune,pirangut,24,3956.458516242318,5060.3448275862065,4571.275593092295
Bangalore,akshayanagar,24,4187.306501547988,7018.380096053154,5049.230500174886
Pune,handewadi,24,4314.156697161623,6223.592184007499,5176.360225140713
Delhi NCR,narela,24,3158.215010141988,6233.3185053380785,3940.2985074626868
Kolkata,santoshpur,23,3785.8872362504326,5827.4398868458275,5000.0
Kolkata,thakurpukur,23,3274.3128964059197,4828.542357348859,4100.0
Pune,pimple saudagar,23,7096.266215719779,8472.283959347787,8000.0
Delhi NCR,krishna nagar,23,6972.222222222223,23416.25207296849,13888.888888888889
Pune,mohammed wadi,23,5324.8882265275715,6924.715909090909,5821.917808219178
Bangalore,chikbanavara,23,3784.090909090909,4993.920972644377,4347.826086956522
Chennai,madambakkam,23,4432.727272727272,5719.198564593302,5048.076923076923
Pune,dighi,23,4911.5810301119145,6472.911522045956,5806.451612903225
Pune,alandi,23,4000.0,5736.111111111111,4640.0
Bangalore,hebbal,23,4869.354838709678,7130.203291384318,6040.268456375839
Mumbai,virar east,22,3468.167701863354,6178.571428571428,3941.747572815534
Bangalore,rayasandra,22,4353.693181818182,6625.897435897436,5369.369369369369
Delhi NCR,chhattarpur,22,4392.361111111111,11806.122448979591,5397.379428793041
Chennai,perumbakkam,22,5035.846121432344,5613.677536231884,5453.379205784594
Bangalore,yeshwanthpur,22,6339.4823788546255,9800.066093853271,7935.11272047658
Bangalore,bilekahalli,22,5915.151515151515,9239.026930516291,6825.468844525106
Pune,ravet,22,6216.535433070866,7580.806325484404,6305.582603050958
Bangalore,mahadevapura,22,4618.945868945869,7591.7351146297215,6195.175438596491
Delhi NCR,mayur vihar phase 1,21,8055.555555555556,14166.13007083065,12279.06976744186
Delhi NCR,dwarka mor,21,3888.8888888888887,5385.996409335728,4363.636363636364
Chennai,maraimalai nagar,21,4000.0,4625.0,4470.588235294118
Bangalore,kumaraswamy layout,21,4761.9047619047615,10000.0,5303.030303030303
Delhi NCR,patparganj,21,8909.09090909091,11666.666666666666,11000.0
Chennai,guduvancheri,20,4088.2352941176473,5681.3725490196075,4816.666666666666
Chennai,chengalpattu,20,4106.25,5319.791666666667,4435.302197802197
Bangalore,thotada guddadhalli village,20,4108.350236646383,5000.0,4687.5
Kolkata,sodepur,20,3231.2432790139796,5109.845117214917,4171.999707240618
Chennai,medavakkam,20,5280.813360081653,7053.571428571428,5623.023857430297
Chennai,west tambaram,20,4840.962335555956,6432.692307692308,5323.893625659764
Bangalore,nagarbhavi,20,5414.438502673797,7385.416666666667,5907.414789714969
Bangalore,hongasandra,20,4775.0,12943.853640951695,5338.044579533941
Bangalore,anekal,20,2919.1176470588234,4571.428571428572,3728.9438502673793
Pune,hinjewadi,20,7196.0989010989015,9323.432343234323,7545.879812882332
Bangalore,r. t. nagar,20,4958.333333333333,9148.17836633508,5757.575757575758
Bangalore,malleswaram,20,8777.622702954175,16354.166666666668,12189.865894938115
Bangalore,hbr layout,20,4780.560271646859,6773.049645390071,6009.453072248481
Bangalore,ramamurthy nagar,20,5037.878787878788,7541.666666666667,6387.4680306905375
Hyderabad,bachupally,20,4859.656538376656,6740.320013109535,5631.516820775132
Bangalore,bellandur,20,6265.256305939788,7032.925603217158,6411.678011155767
Chennai,korattur,20,5437.062937062938,7921.99779177762,6030.30303030303
Kolkata,dum dum,20,3329.2383292383292,4495.003276539974,3744.4444444444443
Kolkata,rajpur,20,2959.6197827329906,4206.54242840069,3426.319632349783
Delhi NCR,paschim vihar,19,8660.714285714286,13708.333333333332,10714.285714285714
Bangalore,hulimavu,19,4895.833333333333,7888.888888888889,5166.666666666667
Bangalore,frazer town,19,7250.0,15813.492063492064,8338.678640153945
Pune,sadashiv peth,19,9983.388704318937,12534.916201117318,11824.080749819754
Bangalore,harlur,19,5451.334094732743,7853.258896151053,5660.377358490566
Pune,shikrapur,19,2626.651982378855,4081.6326530612246,3222.222222222222
Delhi NCR,pitampura,19,6638.888888888889,11248.812915479582,9822.263797942001
Mumbai,goregaon west,19,14666.666666666668,19767.441860465115,16666.666666666668
Mumbai,ghatkopar east,19,18791.666666666664,29274.5199345561,22500.0
Kolkata,madhyamgram,19,2999.1216843584534,4678.117190705308,3748.828491096532
Delhi NCR,nangloi,19,6625.0,12151.030433740714,9000.0
Delhi NCR,aya nagar,19,3602.272727272727,7645.833333333334,4500.978473581214
Pune,shukrawar peth,19,7115.784008307373,9465.277777777777,8181.818181818182
Pune,bibwewadi,19,7253.384912959382,9608.285479901559,8461.538461538461
Bangalore,rmv extension stage 2,19,6282.828282828283,11515.647879284243,8636.363636363636
Pune,wanowrie,19,6331.043466124956,8929.836995038979,7250.0
Bangalore,attibele,18,3580.8823529411766,5000.0,4323.593073593073
Bangalore,banaswadi,18,5818.181818181818,9555.555555555555,7215.809723679608
Delhi NCR,sector 25 rohini,18,7925.064599483205,12994.011976047905,10833.333333333332
Kolkata,birati,18,3205.061728395062,5108.024691358025,4213.824996957526
Chennai,thiruvallur,18,3475.836431226766,5066.568047337278,4555.555555555556
Mumbai,bhandup west,18,11761.975308641977,16345.86422613531,14531.6421167485
Mumbai,borivali east,18,17637.15596330275,25000.0,19213.074412881826
Pune,dhankawadi,18,4172.619047619048,6784.090909090909,5003.391670058337
Pune,mundhwa,18,6282.455489614244,8165.644171779141,7302.501645819619
Bangalore,jakkur,18,5738.636363636364,9540.178571428572,7770.012364926617
Bangalore,gottigere,18,3862.876254180602,6676.923076923077,4690.860215053764
Bangalore,kadugondanahalli,18,3756.5876152832675,8650.0,4958.333333333334
Bangalore,kithaganur colony,18,5633.5341365461845,7104.166666666667,6300.785634118967
Delhi NCR,shalimar bagh,18,10924.71556523844,19721.528471528472,13333.333333333334
Delhi NCR,mahavir enclave,18,4762.195121951219,5981.481481481482,5212.962962962963
Bangalore,annapurneshwari nagar,18,5411.255411255412,7290.238213048703,5866.622647738528
Bangalore,sahakara nagar,17,5531.914893617021,8119.65811965812,6028.368794326241
Bangalore,padmanabhanagar,17,5416.666666666667,9722.222222222223,6600.0
Bangalore,devarachikkana halli,17,4516.711833785004,6156.156156156156,5040.650406504065
Bangalore,kalkere,17,4363.636363636364,5337.8378378378375,4893.617021276596
Bangalore,jigani,17,3000.0,4583.333333333333,3666.6666666666665
Pune,kasarwadi,17,5888.888888888889,8391.608391608392,6526.315789473684
Pune,new sangvi,17,4296.875,8225.806451612903,6250.0
Bangalore,singasandra,17,5000.0,7075.0,5714.285714285715
Pune,bhukum,17,5288.461538461538,6265.060240963855,5673.758865248227
Bangalore,kartik nagar,17,5800.0,7189.5424836601305,6276.150627615063
Kolkata,sonarpur,17,3197.9899497487436,4000.0,3589.74358974359
Mumbai,santacruz east,17,17500.0,26923.076923076922,22000.0
Mumbai,vasai west,17,6333.333333333333,8392.857142857143,7142.857142857143
Chennai,maduravoyal,17,6179.775280898876,6547.619047619048,6432.748538011696
Chennai,padur,17,3920.0,5937.5,5313.243457573354
Chennai,pallikaranai,17,4871.794871794872,6824.953445065177,5900.0
Bangalore,uttarahalli hobli,17,5000.0,7656.25,5925.925925925926
Delhi NCR,tri nagar,17,6909.090909090909,10648.148148148148,9600.0
Hyderabad,kondapur,17,6396.0,8403.361344537816,6940.06309148265
Delhi NCR,razapur khurd,17,4111.111111111111,7142.857142857143,5000.0
Delhi NCR,mayur vihar phase 3,17,6976.7441860465115,11016.949152542373,9230.76923076923
Delhi NCR,kirari suleman nagar,17,5100.1821493624775,8333.333333333334,5555.555555555556
Delhi NCR,laxmi nagar,17,5200.0,19292.60450160772,9259.25925925926
Delhi NCR,mukherjee nagar,17,7045.454545454545,14063.656550703183,11111.111111111111
Pune,wadgaon sheri,17,7200.0,10000.0,8518.518518518518
Pune,saswad,17,3405.9945504087195,3703.703703703704,3448.2758620689656
Pune,pisoli,17,4685.212298682284,5280.898876404494,4901.036757775683
Bangalore,basavanagudi,17,12977.099236641221,19047.619047619046,16028.36879432624
Bangalore,bangalore city municipal corporation layout,17,5227.272727272727,6788.511749347258,5900.0
Delhi NCR,dallupura,16,8553.571428571428,10677.083333333334,9321.90476190476
Delhi NCR,badarpur,16,3105.8823529411766,7318.9655172413795,4089.5522388059703
Delhi NCR,sector 15 rohini,16,8970.628415300547,11590.909090909092,10420.883534136547
Hyderabad,miyapur,16,4799.065420560748,6330.952380952381,5826.656394453004
Bangalore,koramangala,16,8960.961538461539,14625.0,12562.5
Chennai,chromepet,16,5067.326139088729,5881.458966565349,5518.024032042724
Bangalore,seegehalli,16,4989.583333333333,8809.26724137931,7257.575757575758
Bangalore,shivaji nagar,16,9068.627450980392,13796.544105386027,10755.336617405585
Bangalore,nri layout,16,4005.16669916163,5779.891304347826,4684.14707655214
Bangalore,parappana agrahara,16,3725.0,7774.331103678929,4583.333333333334
Mumbai,bhayandar east,16,7766.666666666667,11501.388888888889,10126.84124386252
Mumbai,bhayandar west,16,8935.009487666035,12009.708737864077,10136.986301369863
Bangalore,marsur,16,3444.0476190476193,4285.714285714285,3953.125
Mumbai,mulund east,16,13785.353535353535,19640.711462450592,17799.539170506912
Chennai,ayappakkam,16,4335.32623701842,5406.849315068493,5160.209470554299
Bangalore,wilson garden,16,6759.057971014493,10841.269841269841,7800.134138162308
Kolkata,kaikhali,16,3818.948957189901,4869.935842114991,4296.501871692268
Pune,aundh,16,7377.049180327869,11603.925353925353,9883.720930232557
Bangalore,mallathahalli,16,4209.692746278112,6887.0192307692305,5817.099567099567
Bangalore,lingarajapuram,16,5000.0,10361.842105263157,6255.555555555556
Pune,pimple gurav,16,5433.908045977012,7975.199212104933,6515.151515151516
Pune,warje,16,6319.151517413864,8448.347107438016,7812.5
Pune,parvati darshan,16,8567.954009433963,10800.0,9318.181818181818
Delhi NCR,jamia nagar,15,4041.666666666667,7777.777777777777,6363.636363636364
Pune,viman nagar,15,7831.632653061224,11584.901379232102,10833.333333333334
Pune,jambhul,15,3284.8200312989047,5785.123966942148,4958.677685950413
Pune,yerawada,15,3250.0,6711.150864639237,4210.526315789473
Bangalore,talaghattapura,15,3808.312128922816,5204.166666666666,4967.197750702905
Kolkata,purba barisha,15,3116.0236959976883,4537.0370370370365,3782.8947368421054
Bangalore,nagavara,15,4879.215777803711,8936.226435441311,7906.976744186047
Kolkata,harinavi,15,2766.25,3710.055450751729,3159.1737545565006
Kolkata,dum dum park,15,3786.111111111111,4908.99357601713,4000.0
Bangalore,gnana bharathi,15,4029.8456260720413,6267.878787878788,4634.721131186175
Delhi NCR,sector 13 rohini,15,12132.867132867133,18055.555555555555,15000.0
Delhi NCR,vishnu garden,15,5407.407407407407,15484.006734006734,7111.111111111111
Chennai,oragadam ambattur,15,3773.5849056603774,6470.588235294118,5000.0
Chennai,kolathur,15,5939.764492753623,7237.124463519313,6434.782608695652
Bangalore,brookefield,15,4843.75,8429.442519846089,5693.251533742331
Bangalore,c v raman nagar,15,5227.788084930942,12532.679738562092,6200.0
Chennai,velachery,15,6056.570190373008,9629.62962962963,8125.0
Chennai,madipakkam,14,5285.592497868713,6736.654199251955,5805.032159198826
Delhi NCR,lajpat nagar,14,11355.555555555555,17777.777777777777,14311.965811965812
Delhi NCR,tilak nagar,14,6238.310473815462,8522.727272727274,7554.347826086956
Delhi NCR,sewak park,14,5694.444444444444,9272.727272727272,7817.816569686894
Delhi NCR,vasant kunj,14,8727.272727272728,15700.0,12170.588235294119
Pune,rasta peth,14,7701.013513513513,9900.0,8660.714285714286
Pune,talegaon dhamdhere,14,2541.6666666666665,3950.0,3351.204351204351
Bangalore,banashankari 6th stage 6th block,14,5325.321802091714,6666.666666666667,6076.388888888889
Bangalore,bisuvanahalli,14,3406.7441860465115,4456.74024438313,3813.9534883720926
Bangalore,yelahanka new town,14,4431.818181818182,10116.758241758242,5896.443707388981
Kolkata,lake town,14,4006.817227230138,5928.101503759399,4529.914529914529
Mumbai,malad east,14,18784.722222222223,22121.21212121212,19099.59467284308
Kolkata,new alipore,14,5893.697614442295,10092.734434839698,7378.640776699029
Bangalore,vibhutipura,14,6115.766073871409,7165.548153228177,6681.957186544343
Chennai,puzhal,14,4567.778419361318,6261.842105263158,5826.2871879893155
Hyderabad,kompally,14,5353.861084880915,6502.2056328469625,5805.872636276226
Hyderabad,nizampet,14,4685.765673175745,6334.229390681004,5475.382003395585
Bangalore,chikkalasandra,14,4504.317980513729,10476.190476190477,4800.892857142857
Delhi NCR,sector 16 rohini,14,8660.714285714286,11656.976744186046,9553.571428571428
Pune,punawale,14,5370.37037037037,7073.6364161349,5578.983753888697
Bangalore,bagalur,14,4654.731457800512,7007.007007007007,5221.722846441948
Delhi NCR,budh vihar,14,5305.555555555556,12355.555555555555,10000.0
Delhi NCR,jaitpur,14,2956.3980524098693,4875.0,3128.589263420724
Pune,tathawade,14,6390.901771336554,8426.64708886619,7047.930283224401
Pune,charholi budruk,14,4659.661825550958,6171.428571428572,5184.206716850029
Kolkata,keshtopur,14,3141.0195217412056,4599.206349206349,3541.31330458342
Chennai,anakaputhur,14,3854.4572468162523,5953.455147003534,5386.736672051697
Bangalore,indira nagar,14,8464.912280701756,15043.076656824951,11416.666666666668
Bangalore,jayanagar,14,8537.221706864564,12485.222112286578,10625.0
Pune,kondhawe-dhawade,14,4634.31631455399,5780.780780780781,4958.83003563967
Pune,nigdi,14,5607.469702814173,8789.915293706701,6507.518796992481
Bangalore,abbigere,14,4210.526315789474,5944.330601092896,4833.333333333334
Pune,kanhe,14,3274.7395833333335,4145.618556701031,3527.777777777778
Bangalore,konanakunte,14,4720.0,7357.142857142857,6022.00333235323
Pune,akurdi,14,4583.333333333333,6487.252532228361,5307.219662058372
Pune,baramati,14,2987.1323529411766,4375.0,3767.8455548345228
Pune,kasba peth,13,7947.019867549669,10833.333333333334,8695.652173913044
Bangalore,hemmigepura,13,5000.0,6600.0,5391.304347826087
Bangalore,hebbal kempapura,13,5128.205128205128,11676.983680360157,6388.888888888889
Bangalore,jnana ganga nagar,13,5574.614065180103,7352.941176470588,6428.571428571428
Pune,pashan,13,8545.454545454546,11245.674740484428,8846.153846153846
Delhi NCR,model town,13,6800.0,13018.714401952808,10185.185185185184
Chennai,triplicane,13,8831.666666666666,17996.98795180723,9572.649572649572
Kolkata,malancha mahi nagar,13,3055.5555555555557,4936.854190585534,3786.98224852071
Kolkata,kasba,13,5538.461538461538,7391.304347826087,6222.222222222223
Bangalore,margondanahalli,13,5434.782608695652,7446.808510638298,6133.333333333333
Chennai,iyyappanthangal,13,5246.252676659529,6818.181818181818,5755.395683453237
Mumbai,kurla west,13,13286.713286713286,22912.42362525458,15662.650602409638
Bangalore,narayanapura,13,6281.588447653429,8333.333333333334,6666.666666666667
Pune,charholi kurd,13,3697.4789915966385,5319.148936170212,4400.0
Bangalore,kamakshipalya,13,5208.333333333333,6500.0,6500.0
Bangalore,choodasandra,13,4783.808647654094,7272.727272727273,7009.345794392523
Bangalore,kambipura,13,4813.137032842582,6818.181818181818,5730.129390018485
Pune,balewadi,13,7974.683544303797,8800.0,8500.0
Pune,kolhewadi,13,4297.520661157025,5864.661654135339,4605.263157894737
Pune,loni kalbhor,13,2781.9548872180453,4602.991944764097,3252.032520325203
Delhi NCR,bindapur,13,6153.846153846154,11111.111111111111,8408.071748878923
Chennai,perungalathur,13,4328.018223234624,5945.945945945946,4866.1800486618
Bangalore,battarahalli,13,4778.15699658703,6190.476190476191,5625.0
Bangalore,arakere,13,5000.0,6375.227686703097,5945.4995871180845
Chennai,villivakkam,13,5573.770491803279,8000.0,7341.772151898735
Pune,sus,13,6304.347826086957,7142.857142857143,6791.778373547811
Pune,thergaon,13,5538.461538461538,7002.801120448179,6250.0
Pune,rajgurunagar,13,2727.2727272727275,3790.3225806451615,2909.090909090909
Chennai,kundrathur,13,4171.240395170143,4956.03517186251,4378.172588832487
Delhi NCR,karol bagh,13,9393.939393939394,15476.190476190477,11111.111111111111
Chennai,mambakkam-chengalpattu,13,4625.0,5300.0,5130.434782608696
Chennai,thirumullaivoyal,13,4555.31453362256,5015.511892450879,4776.119402985075
Chennai,thiruverkkadu,13,4255.31914893617,5159.474671669794,5003.4746351633075
Chennai,mahindra world city,12,3735.613810741688,5248.397435897436,4971.169686985173
Delhi NCR,ashok vihar,12,10825.519771708112,24117.174959871587,14516.129032258064
Bangalore,attiguppe,12,6025.914634146341,9944.444444444445,7222.222222222223
Pune,vishrantwadi,12,6293.522267206478,8296.678121420391,7727.272727272728
Bangalore,hoodi,12,5059.709931632451,11727.767265846736,6256.613756613757
Bangalore,kalyan nagar,12,5634.175486514168,8974.358974358975,6768.115942028986
Pune,ganesh peth,12,5200.0,10247.49373433584,7580.357142857143
Pune,old sangvi,12,5521.428571428572,7194.9440933398155,6148.351648351649
Pune,yewalewadi,12,3762.4087591240877,5322.55137685433,4618.574289741117
Bangalore,kada agrahara,12,3356.8829707426858,5938.242280285036,4757.309941520467
Bangalore,jalahalli,12,5964.953712450406,8703.022875816994,7487.269193391642
Kolkata,tangra,12,7500.616957231876,11407.739920816372,9074.202321437588
Mumbai,kurla east,12,13640.018008747105,17726.623111474073,16091.269841269841
Chennai,anna nagar west,12,8602.272727272728,12022.47191011236,11100.913005710907
Kolkata,mukundapur,12,4724.025974025974,7035.583464154893,5680.383446340893
Bangalore,nandini layout,12,4845.833333333334,11000.0,7192.258064516129
Bangalore,munnekollal,12,5406.010230179028,14333.333333333334,8669.275929549902
Bangalore,ramohalli,12,3916.6666666666665,4768.75,4180.555555555556
Bangalore,sanjaynagar,12,7755.725190839695,17307.69230769231,12707.019756200085
Bangalore,srirampuram,12,6970.090767323763,10105.76923076923,8238.97289387499
Chennai,urapakkam,12,3832.661401667863,4861.244635193133,4128.787878787879
Delhi NCR,madhu vihar,12,4628.81455399061,7942.27370901237,6301.587301587302
Delhi NCR,mayur vihar,12,5887.5,15915.233415233415,12966.666666666668
Delhi NCR,malviya nagar,12,4702.020202020202,9060.37019826518,6422.902494331066
Delhi NCR,khanpur,12,3657.4074074074074,7000.0,4297.619047619048
Delhi NCR,sector 9 rohini,12,11160.0,16911.764705882353,14072.727272727272
Hyderabad,kukatpally,12,5355.263157894737,6633.333333333333,5876.081347700713
Delhi NCR,vikaspuri,12,8769.125334693357,11380.494505494506,10417.391304347826
Chennai,kodambakkam,12,7851.603232533889,12282.366071428572,10461.538461538461
Kolkata,bramhapur,12,2586.3636363636365,4556.0515873015875,3811.1111111111113
Hyderabad,kokapet,12,8940.292701901104,11851.810232101994,9532.458131806667
Kolkata,belghoria,12,3509.722361431292,4626.344086021505,3788.966365873667
Chennai,mogappair,12,6500.0,9855.866093783248,7072.222222222223
Chennai,t nagar,12,9750.0,16846.361185983827,13595.959595959595
Chennai,oragadam sriperambattur,12,3075.1552795031057,4844.093910491562,4014.8381753312947
Chennai,chettipunyam,12,3481.099493778682,4605.263157894737,3734.5371978395633
Hyderabad,aminpur,12,4750.0,6075.0751390872465,5147.157478283307
Bangalore,byagadadhenahalli,12,3303.6813592711155,3911.2903225806454,3646.245009540399
Pune,shivaji nagar,12,12620.71463061323,16127.450980392157,14166.666666666668
Bangalore,chokkanahalli,11,5734.219715283374,6684.189442956087,6446.414182111201
Delhi NCR,manglapuri,11,5214.197842729009,8472.222222222223,7223.113964686999
Delhi NCR,kalkaji,11,5527.777777777777,11825.396825396827,7954.545454545455
Pune,uruli kanchan,11,3631.6533207724915,4641.516516516516,3906.25
Delhi NCR,jahangirpuri,11,4342.857142857143,13001.206272617612,6773.920406435224
Hyderabad,kapra,11,4721.678681771369,5466.679053635575,5000.0
Kolkata,ballygunge,11,10108.232248896107,15499.955785471106,11681.818181818182
