property_id,city,locality,pincode,city_tier,tier,property_type,metro_distance_km,bhk,carpet_area_sqft,age_years,builder,builder_score,builder_tier,rera_registered,rera_number,num_amenities,amenities,circle_rate_per_sqft,price_per_sqft,total_price,asking_price_per_sqft,asking_total_price,stamp_duty_pct,stamp_duty_amt,registration_charge_amt,monthly_rent_est,monthly_rent_asking,rental_yield_pct,vastu_compliant,gated_community,rentable
100011,Mumbai,Bandra West,400050,Tier1,premium,Row House,0.42,2,1861.7,19,Godrej Properties,0.93,Tier1,1,PMHA56696,1,Children's Play Area,40471.0,59995.0,111689815.0,59045.0,109921765.0,0.06,6701389.0,30000.0,212577.0,211885.0,2.28,0,0,1
100012,Mumbai,Bandra West,400050,Tier1,premium,Studio/1RK,0.81,1,405.5,7,Local Developer Co,0.55,Tier3,0,,4,"24/7 Security, Lift, Landscaped Garden, Children's Play Area",29719.0,37908.0,15370947.0,39618.0,16064349.0,0.06,922257.0,30000.0,23814.0,22908.0,1.86,0,0,1
100013,Mumbai,Bandra West,400050,Tier1,premium,Apartment,0.63,2,1179.7,7,Sobha Ltd,0.91,Tier1,1,PMHA55569,12,"Lift, Gymnasium, 24/7 Security, Children's Play Area, Visitor Parking, Clubhouse, Power Backup, Indoor Games Room, Landscaped Garden, Jogging Track, Swimming Pool, CCTV",37487.0,56932.0,67164291.0,63122.0,74466477.0,0.06,4029857.0,30000.0,103211.0,107105.0,1.84,0,1,1
100014,Mumbai,Bandra West,400050,Tier1,premium,Apartment,0.47,3,771.0,8,Regional Builders Ltd,0.5,Tier3,1,PMHA24937,8,"Jogging Track, Children's Play Area, Power Backup, 24/7 Security, CCTV, Lift, Clubhouse, Landscaped Garden",29965.0,35948.0,27716383.0,39549.0,30492479.0,0.06,1662983.0,30000.0,56651.0,57658.0,2.45,1,1,1
100015,Mumbai,Bandra West,400050,Tier1,premium,Apartment,0.67,1,1114.7,8,DLF Ltd,0.92,Tier1,1,PMHA57790,5,"CCTV, Visitor Parking, Gymnasium, Landscaped Garden, Indoor Games Room",40145.0,59004.0,65772058.0,59980.0,66860599.0,0.06,3946323.0,30000.0,100778.0,109741.0,1.84,0,0,1
100016,Mumbai,Bandra West,400050,Tier1,premium,Apartment,0.49,1,1111.6,12,Godrej Properties,0.93,Tier1,1,PMHA58625,3,"Gymnasium, Clubhouse, Lift",30151.0,38715.0,43035408.0,39401.0,43797077.0,0.06,2582124.0,30000.0,68616.0,74277.0,1.91,0,0,1
100017,Mumbai,Bandra West,400050,Tier1,premium,Apartment,0.67,2,646.6,2,Puravankara,0.8,Tier2,1,PMHA30526,5,"Jogging Track, CCTV, Visitor Parking, Children's Play Area, 24/7 Security",30541.0,42054.0,27191444.0,46626.0,30147869.0,0.06,1631487.0,30000.0,33170.0,35761.0,1.46,1,0,1
100018,Mumbai,Bandra West,400050,Tier1,premium,Studio/1RK,0.59,1,333.4,11,Local Developer Co,0.55,Tier3,1,PMHA65464,10,"Visitor Parking, Jogging Track, Landscaped Garden, Gymnasium, 24/7 Security, Clubhouse, Power Backup, Lift, Children's Play Area, CCTV",39228.0,60072.0,20026665.0,61581.0,20529870.0,0.06,1201600.0,30000.0,35313.0,35520.0,2.12,1,1,1
100019,Mumbai,Bandra West,400050,Tier1,premium,Plot/Land,0.67,0,2816.0,0,Individual/Land Owner,0.6,Tier3,0,,0,,32156.0,26057.0,73376891.0,26559.0,74789703.0,0.06,4402613.0,30000.0,0.0,0.0,0.0,1,0,0
100020,Mumbai,Bandra West,400050,Tier1,premium,Studio/1RK,0.7,1,266.9,13,DLF Ltd,0.92,Tier1,1,PMHA57944,10,"Power Backup, Jogging Track, CCTV, Swimming Pool, Lift, 24/7 Security, Visitor Parking, Clubhouse, Indoor Games Room, Landscaped Garden",37136.0,57134.0,15248920.0,63637.0,16984736.0,0.06,914935.0,30000.0,22498.0,23468.0,1.77,1,1,1
100021,Mumbai,Bandra West,400050,Tier1,premium,Apartment,0.29,2,1093.8,11,Regional Builders Ltd,0.5,Tier3,1,PMHA14513,3,"Power Backup, Gymnasium, 24/7 Security",41244.0,47561.0,52023006.0,51584.0,56423555.0,0.06,3121380.0,30000.0,86856.0,89366.0,2.0,1,0,1
100022,Mumbai,Bandra West,400050,Tier1,premium,Apartment,0.58,3,1187.7,18,Oberoi Realty,0.9,Tier1,1,PMHA74909,3,"Jogging Track, Visitor Parking, Lift",29676.0,36476.0,43320998.0,39553.0,46976416.0,0.06,2599260.0,30000.0,71031.0,71812.0,1.97,0,0,1
100023,Mumbai,Bandra West,400050,Tier1,premium,Plot/Land,0.49,0,1763.4,0,Individual/Land Owner,0.6,Tier3,0,,0,,30069.0,22284.0,39294693.0,24054.0,42416769.0,0.06,2357682.0,30000.0,0.0,0.0,0.0,1,0,0
100024,Mumbai,Bandra West,400050,Tier1,premium,Apartment,0.41,3,665.8,11,Brigade Group,0.88,Tier1,1,PMHA22593,6,"Landscaped Garden, CCTV, Indoor Games Room, Lift, Jogging Track, Clubhouse",38924.0,50850.0,33857368.0,49419.0,32904127.0,0.06,2031442.0,30000.0,62845.0,67593.0,2.23,1,1,1
100025,Mumbai,Bandra West,400050,Tier1,premium,Apartment,0.54,3,577.5,22,Kolte-Patil,0.82,Tier2,1,PMHA56399,12,"Visitor Parking, Jogging Track, CCTV, Gymnasium, Power Backup, Children's Play Area, Indoor Games Room, Lift, 24/7 Security, Swimming Pool, Clubhouse, Landscaped Garden",34192.0,44646.0,25785164.0,44264.0,25564785.0,0.06,1547110.0,30000.0,41884.0,41370.0,1.95,1,1,1
100026,Mumbai,Bandra West,400050,Tier1,premium,Apartment,0.51,2,668.7,5,Godrej Properties,0.93,Tier1,1,PMHA14649,11,"Children's Play Area, Swimming Pool, Clubhouse, Jogging Track, Visitor Parking, 24/7 Security, Power Backup, Lift, Gymnasium, Landscaped Garden, CCTV",28506.0,43482.0,29075327.0,47038.0,31453055.0,0.06,1744520.0,30000.0,46594.0,50282.0,1.92,1,1,1
100027,Mumbai,Bandra West,400050,Tier1,premium,Apartment,0.65,2,724.4,2,Godrej Properties,0.93,Tier1,1,PMHA73890,8,"Lift, Indoor Games Room, Landscaped Garden, Clubhouse, Power Backup, CCTV, 24/7 Security, Jogging Track",30703.0,43141.0,31249240.0,44814.0,32461213.0,0.06,1874954.0,30000.0,52264.0,54830.0,2.01,0,1,1
100028,Mumbai,Bandra West,400050,Tier1,premium,Apartment,0.65,3,814.2,3,Oberoi Realty,0.9,Tier1,1,PMHA62020,8,"Lift, CCTV, Children's Play Area, Swimming Pool, Landscaped Garden, Jogging Track, 24/7 Security, Visitor Parking",41244.0,63620.0,51797412.0,65795.0,53568131.0,0.06,3107845.0,30000.0,85607.0,89788.0,1.98,1,1,1
100029,Mumbai,Bandra West,400050,Tier1,premium,Independent House,0.63,3,1760.9,11,Kolte-Patil,0.82,Tier2,1,PMHA38533,2,"Children's Play Area, Clubhouse",31047.0,41512.0,73100166.0,43789.0,77110864.0,0.06,4386010.0,30000.0,109542.0,115098.0,1.8,0,0,1
100030,Mumbai,Bandra West,400050,Tier1,premium,Villa,0.76,4,2923.2,19,Prestige Group,0.92,Tier1,1,PMHA48827,8,"Landscaped Garden, 24/7 Security, Lift, Gymnasium, Jogging Track, Visitor Parking, Children's Play Area, Power Backup",39024.0,66970.0,195767728.0,69924.0,204405245.0,0.06,11746064.0,30000.0,334946.0,324927.0,2.05,0,1,1
100031,Mumbai,Bandra West,400050,Tier1,premium,Apartment,0.56,2,1495.7,23,Oberoi Realty,0.9,Tier1,1,PMHA25569,10,"Jogging Track, Power Backup, Landscaped Garden, Clubhouse, Lift, Indoor Games Room, CCTV, Children's Play Area, Visitor Parking, 24/7 Security",31929.0,43362.0,64855528.0,44083.0,65934998.0,0.06,3891332.0,30000.0,108972.0,115375.0,2.02,1,1,1
100032,Mumbai,Bandra West,400050,Tier1,premium,Apartment,0.83,3,975.8,3,Runwal Group,0.78,Tier2,1,PMHA57257,7,"Clubhouse, Visitor Parking, Swimming Pool, Landscaped Garden, Jogging Track, Children's Play Area, Indoor Games Room",28150.0,38325.0,37399182.0,37636.0,36726273.0,0.06,2243951.0,30000.0,60240.0,61489.0,1.93,0,1,1
100033,Mumbai,Bandra West,400050,Tier1,premium,Row House,0.48,2,1690.2,7,Regional Builders Ltd,0.5,Tier3,0,,0,,30533.0,42582.0,71972364.0,44456.0,75138680.0,0.06,4318342.0,30000.0,102162.0,101561.0,1.7,1,0,1
100034,Mumbai,Bandra West,400050,Tier1,premium,Independent House,0.91,3,2263.2,9,Runwal Group,0.78,Tier2,1,PMHA78660,1,Clubhouse,37088.0,52879.0,119678895.0,57991.0,131248473.0,0.06,7180734.0,30000.0,203368.0,217117.0,2.04,1,0,1
100035,Mumbai,Bandra West,400050,Tier1,premium,Independent House,0.49,3,2250.3,12,Godrej Properties,0.93,Tier1,1,PMHA86523,1,Jogging Track,40734.0,54882.0,123498417.0,56516.0,127176555.0,0.06,7409905.0,30000.0,204140.0,214004.0,1.98,0,0,1
100036,Mumbai,Bandra West,400050,Tier1,premium,Apartment,0.44,3,1273.4,11,Kolte-Patil,0.82,Tier2,1,PMHA93470,9,"Swimming Pool, Children's Play Area, 24/7 Security, Jogging Track, Landscaped Garden, CCTV, Clubhouse, Visitor Parking, Gymnasium",30682.0,43294.0,55128901.0,46675.0,59434710.0,0.06,3307734.0,30000.0,74007.0,79149.0,1.61,0,1,1
100037,Mumbai,Bandra West,400050,Tier1,premium,Apartment,0.5,3,991.7,8,Kolte-Patil,0.82,Tier2,1,PMHA59778,12,"Power Backup, Indoor Games Room, Visitor Parking, Jogging Track, 24/7 Security, Landscaped Garden, CCTV, Gymnasium, Swimming Pool, Clubhouse, Children's Play Area, Lift",38254.0,58247.0,57764633.0,63434.0,62908708.0,0.06,3465878.0,30000.0,106798.0,110831.0,2.22,1,1,1
100038,Mumbai,Bandra West,400050,Tier1,premium,Apartment,0.82,3,1285.0,0,Regional Builders Ltd,0.5,Tier3,1,PMHA95782,3,"Children's Play Area, Swimming Pool, Indoor Games Room",39516.0,44975.0,57794590.0,49029.0,63003659.0,0.06,3467675.0,30000.0,94418.0,93741.0,1.96,1,0,1
100039,Mumbai,Bandra West,400050,Tier1,premium,Villa,0.55,4,2746.6,10,Local Developer Co,0.55,Tier3,1,PMHA57754,3,"Lift, Jogging Track, Visitor Parking",28063.0,47499.0,130462566.0,52154.0,143248119.0,0.06,7827754.0,30000.0,195551.0,203890.0,1.8,0,0,1
100040,Mumbai,Bandra West,400050,Tier1,premium,Apartment,0.85,3,1115.5,17,Local Developer Co,0.55,Tier3,0,,9,"Children's Play Area, Gymnasium, Lift, Jogging Track, Visitor Parking, Swimming Pool, Landscaped Garden, Power Backup, CCTV",40412.0,50276.0,56080995.0,55671.0,62098195.0,0.06,3364860.0,30000.0,110384.0,108045.0,2.36,0,1,1
100041,Mumbai,Bandra West,400050,Tier1,premium,Apartment,0.65,2,1255.2,5,Sobha Ltd,0.91,Tier1,1,PMHA50794,12,"Jogging Track, Clubhouse, Gymnasium, 24/7 Security, Power Backup, Lift, Swimming Pool, CCTV, Visitor Parking, Landscaped Garden, Children's Play Area, Indoor Games Room",30828.0,48425.0,60782639.0,49146.0,61688755.0,0.06,3646958.0,30000.0,79564.0,79974.0,1.57,1,1,1
100042,Mumbai,Bandra West,400050,Tier1,premium,Villa,0.26,4,2434.4,10,Kolte-Patil,0.82,Tier2,1,PMHA32553,10,"Power Backup, Indoor Games Room, Swimming Pool, Landscaped Garden, Gymnasium, Children's Play Area, Visitor Parking, Lift, CCTV, Jogging Track",31965.0,59908.0,145838544.0,62719.0,152679802.0,0.06,8750313.0,30000.0,223444.0,215628.0,1.84,0,1,1
100043,Mumbai,Bandra West,400050,Tier1,premium,Apartment,0.68,2,598.4,21,Kolte-Patil,0.82,Tier2,1,PMHA61492,3,"CCTV, Children's Play Area, 24/7 Security",28575.0,33194.0,19863457.0,32499.0,19447899.0,0.06,1191807.0,30000.0,27412.0,27110.0,1.66,0,0,1
100044,Mumbai,Bandra West,400050,Tier1,premium,Apartment,0.26,2,866.4,10,Godrej Properties,0.93,Tier1,1,PMHA36099,4,"Swimming Pool, Clubhouse, Visitor Parking, Children's Play Area",33833.0,43709.0,37871003.0,47913.0,41513458.0,0.06,2272260.0,30000.0,59204.0,59508.0,1.88,1,0,1
100045,Mumbai,Bandra West,400050,Tier1,premium,Apartment,0.26,1,681.3,0,Oberoi Realty,0.9,Tier1,1,PMHA76954,6,"Jogging Track, Lift, 24/7 Security, Swimming Pool, Clubhouse, Indoor Games Room",37566.0,54491.0,37124349.0,54395.0,37059318.0,0.06,2227461.0,30000.0,65022.0,63428.0,2.1,0,1,1
100046,Mumbai,Bandra West,400050,Tier1,premium,Independent House,0.56,3,2390.6,21,Regional Builders Ltd,0.5,Tier3,1,PMHA54458,0,,35969.0,42548.0,101715806.0,46205.0,110457324.0,0.06,6102948.0,30000.0,142124.0,141498.0,1.68,1,0,1
100047,Mumbai,Bandra West,400050,Tier1,premium,Plot/Land,0.7,0,1595.4,0,Individual/Land Owner,0.6,Tier3,0,,0,,36448.0,25929.0,41367222.0,26390.0,42101898.0,0.06,2482033.0,30000.0,0.0,0.0,0.0,1,0,0
100048,Mumbai,Bandra West,400050,Tier1,premium,Apartment,0.59,2,686.5,3,Kolte-Patil,0.82,Tier2,1,PMHA38586,11,"Swimming Pool, Lift, 24/7 Security, Jogging Track, Clubhouse, Gymnasium, Indoor Games Room, Power Backup, Children's Play Area, Visitor Parking, Landscaped Garden",31029.0,44188.0,30336775.0,44009.0,30213656.0,0.06,1820206.0,30000.0,48415.0,53201.0,1.92,0,1,1
100049,Mumbai,Bandra West,400050,Tier1,premium,Independent House,0.68,2,2257.9,22,Brigade Group,0.88,Tier1,1,PMHA21421,1,Landscaped Garden,41903.0,51578.0,116458460.0,52144.0,117736950.0,0.06,6987508.0,30000.0,166291.0,173481.0,1.71,1,0,1
100050,Mumbai,Bandra West,400050,Tier1,premium,Apartment,0.41,1,926.4,13,Lodha Group,0.95,Tier1,1,PMHA63613,4,"Gymnasium, CCTV, Landscaped Garden, Visitor Parking",39707.0,52464.0,48600095.0,56601.0,52432963.0,0.06,2916006.0,30000.0,88087.0,93917.0,2.17,1,0,1
100051,Mumbai,Bandra West,400050,Tier1,premium,Apartment,0.32,2,1463.5,3,Lodha Group,0.95,Tier1,1,PMHA81641,6,"Visitor Parking, Swimming Pool, Children's Play Area, Lift, CCTV, Indoor Games Room",35204.0,49206.0,72011698.0,49203.0,72006751.0,0.06,4320702.0,30000.0,96584.0,99074.0,1.61,1,1,1
100052,Mumbai,Bandra West,400050,Tier1,premium,Villa,0.62,4,2253.2,18,Godrej Properties,0.93,Tier1,1,PMHA76753,9,"Jogging Track, Children's Play Area, Power Backup, Gymnasium, 24/7 Security, Lift, Visitor Parking, Landscaped Garden, Swimming Pool",33307.0,67143.0,151287186.0,68927.0,155307144.0,0.06,9077231.0,30000.0,294811.0,319652.0,2.34,0,1,1
100053,Mumbai,Bandra West,400050,Tier1,premium,Independent House,0.65,3,2896.6,12,Brigade Group,0.88,Tier1,1,PMHA46822,0,,36522.0,52079.0,150852344.0,53463.0,154862135.0,0.06,9051141.0,30000.0,247605.0,242245.0,1.97,1,0,1
100054,Mumbai,Bandra West,400050,Tier1,premium,Plot/Land,0.61,0,1335.9,0,Individual/Land Owner,0.6,Tier3,0,,0,,32753.0,22664.0,30276774.0,24545.0,32790524.0,0.06,1816606.0,30000.0,0.0,0.0,0.0,0,0,0
100055,Mumbai,Bandra West,400050,Tier1,premium,Apartment,0.43,1,789.8,3,Oberoi Realty,0.9,Tier1,1,PMHA53097,8,"24/7 Security, Swimming Pool, CCTV, Children's Play Area, Lift, Gymnasium, Landscaped Garden, Clubhouse",30829.0,44893.0,35456898.0,49450.0,39056008.0,0.06,2127414.0,30000.0,57806.0,63462.0,1.96,1,1,1
100056,Mumbai,Bandra West,400050,Tier1,premium,Apartment,0.37,1,790.6,11,Sobha Ltd,0.91,Tier1,1,PMHA94714,6,"Swimming Pool, Children's Play Area, Landscaped Garden, Jogging Track, Clubhouse, Visitor Parking",29006.0,41144.0,32528455.0,43516.0,34403206.0,0.06,1951707.0,30000.0,45660.0,45726.0,1.68,1,1,1
100057,Mumbai,Bandra West,400050,Tier1,premium,Studio/1RK,0.75,1,419.3,6,Godrej Properties,0.93,Tier1,1,PMHA13884,5,"Visitor Parking, Swimming Pool, Jogging Track, CCTV, Gymnasium",38640.0,55165.0,23130521.0,56932.0,23871512.0,0.06,1387831.0,30000.0,39301.0,39078.0,2.04,1,0,1
100058,Mumbai,Bandra West,400050,Tier1,premium,Apartment,0.65,3,675.2,10,DLF Ltd,0.92,Tier1,1,PMHA57776,10,"Clubhouse, 24/7 Security, Visitor Parking, Indoor Games Room, Lift, Landscaped Garden, Swimming Pool, Power Backup, Jogging Track, CCTV",40244.0,58662.0,39606647.0,65281.0,44075761.0,0.06,2376399.0,30000.0,72326.0,79085.0,2.19,1,1,1
100059,Mumbai,Bandra West,400050,Tier1,premium,Apartment,0.05,3,991.8,24,Local Developer Co,0.55,Tier3,0,,3,"Clubhouse, Landscaped Garden, Swimming Pool",30908.0,32078.0,31813309.0,32016.0,31752413.0,0.06,1908799.0,30000.0,30948.0,33255.0,1.17,1,0,1
100060,Mumbai,Bandra West,400050,Tier1,premium,Row House,0.62,2,1542.4,1,Brigade Group,0.88,Tier1,1,PMHA71367,1,Power Backup,30140.0,52124.0,80396497.0,56431.0,87039321.0,0.06,4823790.0,30000.0,134129.0,132744.0,2.0,1,0,1
100061,Mumbai,Bandra West,400050,Tier1,premium,Apartment,0.71,2,1119.7,16,Runwal Group,0.78,Tier2,1,PMHA59736,12,"Landscaped Garden, Clubhouse, CCTV, Power Backup, Gymnasium, Visitor Parking, Jogging Track, Indoor Games Room, Swimming Pool, Children's Play Area, 24/7 Security, Lift",36946.0,52650.0,58952706.0,58574.0,65585426.0,0.06,3537162.0,30000.0,74542.0,73410.0,1.52,1,1,1
100062,Mumbai,Bandra West,400050,Tier1,premium,Apartment,0.54,1,1033.5,17,Sobha Ltd,0.91,Tier1,1,PMHA90322,10,"Gymnasium, 24/7 Security, CCTV, Landscaped Garden, Swimming Pool, Children's Play Area, Power Backup, Jogging Track, Visitor Parking, Indoor Games Room",28564.0,39917.0,41253616.0,41230.0,42610660.0,0.06,2475217.0,30000.0,64809.0,65323.0,1.89,1,1,1
100063,Mumbai,Bandra West,400050,Tier1,premium,Apartment,0.56,3,1289.2,4,Sobha Ltd,0.91,Tier1,1,PMHA70073,4,"Lift, Children's Play Area, Landscaped Garden, 24/7 Security",29761.0,37074.0,47797230.0,37333.0,48131909.0,0.06,2867834.0,30000.0,65512.0,64078.0,1.64,0,0,1
100064,Mumbai,Bandra West,400050,Tier1,premium,Independent House,0.63,3,2924.7,14,Local Developer Co,0.55,Tier3,0,,2,"Landscaped Garden, Power Backup",31969.0,40859.0,119498587.0,43466.0,127125193.0,0.06,7169915.0,30000.0,215235.0,236039.0,2.16,1,0,1
100065,Mumbai,Bandra West,400050,Tier1,premium,Apartment,0.97,3,1427.7,7,Kolte-Patil,0.82,Tier2,1,PMHA73071,11,"Indoor Games Room, Children's Play Area, Swimming Pool, Landscaped Garden, Gymnasium, Lift, CCTV, Jogging Track, 24/7 Security, Visitor Parking, Power Backup",28325.0,42539.0,60731612.0,46016.0,65696344.0,0.06,3643897.0,30000.0,93576.0,99824.0,1.85,1,1,1
100066,Mumbai,Bandra West,400050,Tier1,premium,Independent House,0.59,3,2337.5,9,Local Developer Co,0.55,Tier3,0,,0,,31363.0,42622.0,99629958.0,46560.0,108836603.0,0.06,5977797.0,30000.0,181248.0,178254.0,2.18,0,0,1
100067,Mumbai,Bandra West,400050,Tier1,premium,Studio/1RK,0.82,1,288.5,24,Brigade Group,0.88,Tier1,1,PMHA31106,4,"Landscaped Garden, Swimming Pool, Lift, Power Backup",39165.0,50545.0,14583216.0,52234.0,15070588.0,0.06,874993.0,30000.0,31625.0,34490.0,2.6,0,0,1
100068,Mumbai,Bandra West,400050,Tier1,premium,Studio/1RK,0.67,1,350.2,7,Prestige Group,0.92,Tier1,1,PMHA34356,7,"Indoor Games Room, Lift, Jogging Track, Landscaped Garden, 24/7 Security, Swimming Pool, CCTV",29932.0,46020.0,16113945.0,51487.0,18028383.0,0.06,966837.0,30000.0,29630.0,28840.0,2.21,1,1,1
100069,Mumbai,Bandra West,400050,Tier1,premium,Apartment,0.61,2,855.5,5,Puravankara,0.8,Tier2,1,PMHA26004,7,"Swimming Pool, Clubhouse, Gymnasium, Power Backup, Indoor Games Room, Lift, Children's Play Area",32457.0,44273.0,37874499.0,46208.0,39529183.0,0.06,2272470.0,30000.0,58071.0,56918.0,1.84,0,1,1
100070,Mumbai,Bandra West,400050,Tier1,premium,Villa,0.29,4,3981.6,2,Puravankara,0.8,Tier2,1,PMHA35251,3,"Clubhouse, Gymnasium, 24/7 Security",30149.0,52586.0,209379058.0,57501.0,228949529.0,0.06,12562743.0,30000.0,327223.0,320862.0,1.88,1,0,1
100071,Mumbai,Bandra West,400050,Tier1,premium,Studio/1RK,0.3,1,400.5,6,Lodha Group,0.95,Tier1,1,PMHA13910,3,"Jogging Track, Landscaped Garden, Power Backup",35545.0,50854.0,20365413.0,55052.0,22046372.0,0.06,1221925.0,30000.0,39538.0,39993.0,2.33,0,0,1
100072,Mumbai,Bandra West,400050,Tier1,premium,Apartment,0.39,3,976.3,16,Runwal Group,0.78,Tier2,1,PMHA17738,6,"Lift, Swimming Pool, Indoor Games Room, CCTV, Clubhouse, Visitor Parking",38521.0,48774.0,47617253.0,53712.0,52439101.0,0.06,2857035.0,30000.0,90006.0,97405.0,2.27,0,1,1
100073,Mumbai,Bandra West,400050,Tier1,premium,Apartment,0.45,2,575.2,17,Sobha Ltd,0.91,Tier1,1,PMHA76124,3,"24/7 Security, Power Backup, Visitor Parking",37185.0,44775.0,25756993.0,47472.0,27308434.0,0.06,1545420.0,30000.0,30543.0,30434.0,1.42,1,0,1
100074,Mumbai,Bandra West,400050,Tier1,premium,Villa,0.89,5,4247.6,4,Godrej Properties,0.93,Tier1,1,PMHA44682,10,"Visitor Parking, Lift, Power Backup, Landscaped Garden, Gymnasium, Children's Play Area, CCTV, Indoor Games Room, 24/7 Security, Clubhouse",39573.0,87253.0,370616011.0,90866.0,385964615.0,0.06,22236961.0,30000.0,566992.0,549034.0,1.84,1,1,1
100075,Mumbai,Bandra West,400050,Tier1,premium,Independent House,0.47,2,1681.8,10,Lodha Group,0.95,Tier1,1,PMHA29268,2,"Jogging Track, Swimming Pool",30737.0,44767.0,75290696.0,49201.0,82747658.0,0.06,4517442.0,30000.0,108635.0,109776.0,1.73,0,0,1
100076,Mumbai,Bandra West,400050,Tier1,premium,Independent House,0.59,3,1571.8,2,Oberoi Realty,0.9,Tier1,1,PMHA28484,2,"CCTV, Clubhouse",31707.0,43786.0,68824012.0,46541.0,73155478.0,0.06,4129441.0,30000.0,91832.0,99117.0,1.6,1,0,1
100077,Mumbai,Bandra West,400050,Tier1,premium,Plot/Land,0.51,0,897.2,0,Individual/Land Owner,0.6,Tier3,0,,0,,35365.0,27064.0,24281484.0,27567.0,24732889.0,0.06,1456889.0,30000.0,0.0,0.0,0.0,1,0,0
100078,Mumbai,Bandra West,400050,Tier1,premium,Apartment,0.85,2,855.0,3,Runwal Group,0.78,Tier2,1,PMHA98076,6,"Children's Play Area, Gymnasium, Indoor Games Room, Jogging Track, Landscaped Garden, Visitor Parking",39287.0,55399.0,47367846.0,54595.0,46680658.0,0.06,2842071.0,30000.0,87601.0,91324.0,2.22,1,1,1
