listing_id_a,listing_id_b,similarity
508359,502759,0.952
505414,505480,0.923
504391,504419,0.923
505889,508335,1.0
507908,507842,1.0
508370,500124,1.0
508381,504998,1.0
506212,506194,0.937
508211,502900,1.0
508227,506135,1.0
507156,508343,1.0
507719,507728,1.0
501260,501231,1.0
500320,500258,1.0
501582,501608,1.0
501953,508219,1.0
503532,508388,1.0
504468,508277,1.0
508295,501081,1.0
507473,508321,1.0
500970,508226,1.0
