listing_name,city,locality,property_type,bhk,carpet_area_sqft,price_inr,price_per_sqft_calc,baths,has_balcony
"Annamalai Colony, Saligramam,Chennai",Chennai,Saligramam,Apartment,3.0,1196,11000000.0,9197.324414715718,3,0
"Ambattur, Chennai",Chennai,Ambattur,Independent House,3.0,4800,42000000.0,8750.0,5,1
Jubliee Residences,Chennai,Moolakazhani,Apartment,2.0,690,3650000.0,5289.855072463768,2,1
Ashwanth Vedas,Chennai,Kolathur,Apartment,2.0,982,6000000.0,6109.979633401222,3,0
"Guduvancheri, Chennai",Chennai,Guduvancheri,Independent House,2.0,600,3650000.0,6083.333333333333,2,0
"Iswaryam Flats,VOC Nagar, Pammal,Chennai",Chennai,Pammal,Apartment,2.0,770,3000000.0,3896.103896103896,2,0
Lake View Apartment,Chennai,Mathur,Apartment,2.0,840,3950000.0,4702.380952380952,3,1
TK Jasmine Grove,Chennai,Mahindra World City,Independent House,3.0,1650,3900000.0,2363.6363636363635,3,1
"Sai sivam,Thirumangalam, Anna Nagar West,Chennai",Chennai,Anna Nagar West,Apartment,3.0,1340,15300000.0,11417.910447761195,3,1
Adityaram Nagar Phase 5,Chennai,Panaiyur,Villa,4.0,3500,26000000.0,7428.571428571428,5,1
CasaGrand Monte Carlo,Chennai,Saidapet,Apartment,3.0,1881,24400000.0,12971.823498139287,3,1
Pacifica Happiness Towers,Chennai,Padur,Apartment,4.0,2232,12500000.0,5600.358422939068,4,1
Pacifica Aurum Villas,Chennai,Padur,Villa,4.0,2117,14000000.0,6613.131790269249,4,1
Godrej Palm Grove,Chennai,Chembarambakkam,Apartment,3.0,1426,9460000.0,6633.941093969144,3,0
Jain Inseli Park,Chennai,Padur,Apartment,2.0,1121,6000000.0,5352.3639607493305,3,1
Pacifica Pride Towers,Chennai,Padur,Apartment,2.0,1261,6700000.0,5313.243457573354,3,0
Prestige Courtyards by Prestige Estates Projects Ltd.,Chennai,Sholinganallur,Apartment,3.0,1689,13200000.0,7815.275310834813,3,1
TVS Flourish ,Chennai,Padappai,Apartment,2.0,886,4500000.0,5079.006772009029,3,0
Golden Opulence by Golden Homes,Chennai,Poonamallee,Apartment,2.0,1093,6000000.0,5489.478499542543,3,1
TVS Green Acres,Chennai,Kolapakkam - Vandalur,Apartment,2.0,1047,7000000.0,6685.768863419294,3,0
Casagrand Cherry Pick,Chennai,Perumbakkam,Apartment,3.0,1559,8500000.0,5452.212957023733,3,1
MP Montana,Chennai,Thiruneermalai,Apartment,2.0,853,5000000.0,5861.664712778429,3,0
SSM Nagar,Chennai,Perungalathur,Apartment,3.0,1317,5200000.0,3948.3675018982535,3,0
Alliance Galleria Residences,Chennai,Old Pallavaram,Apartment,1.0,618,5200000.0,8414.239482200648,2,0
Golden Luxury Villas by Golden Homes,Chennai,Ekkatuthangal,Villa,3.0,1200,29000000.0,24166.666666666668,3,0
Aurum Villas,Chennai,Padur,Villa,3.0,2150,16500000.0,7674.418604651163,4,1
Mahindra Nova,Chennai,Chettipunyam,Apartment,2.0,604,2900000.0,4801.324503311258,2,1
"Chettipunyam, Chennai",Chennai,Chettipunyam,Apartment,2.0,836,3800000.0,4545.454545454545,3,0
Kochar Neetu Arjun Garden,Chennai,Gerugambakkam,Apartment,1.0,1009,7200000.0,7135.777998017839,3,1
MP Silver Bells,Chennai,Kundrathur,Apartment,2.0,711,4500000.0,6329.113924050633,2,0
Casagrand Arena,Chennai,Oragadam Ambattur,Villa,3.0,1545,12500000.0,8090.614886731391,3,1
Silversky Lakeside3,Chennai,Puzhal,Apartment,3.0,1551,8841000.0,5700.193423597679,3,0
Casagrand Arena,Chennai,Oragadam Ambattur,Villa,3.0,1352,8000000.0,5917.15976331361,3,0
MP Silver Bells,Chennai,Kundrathur,Apartment,2.0,711,4500000.0,6329.113924050633,2,1
MP Silver Bells,Chennai,Kundrathur,Apartment,2.0,711,4500000.0,6329.113924050633,2,0
Sai Navarathinam,Chennai,Korattur,Apartment,2.0,961,7200000.0,7492.19562955255,3,0
Jubliee Residences,Chennai,Moolakazhani,Apartment,1.0,482,2400000.0,4979.253112033195,2,1
CasaGrand Savoye,Chennai,Karapakkam,Apartment,2.0,1037,7200000.0,6943.105110896818,3,0
Pacifica Aurum Villas by Pacifica Companies,Chennai,Padur,Apartment,4.0,2200,15000000.0,6818.181818181818,4,1
Karuppaswamy Tulsi Apartment,Chennai,Porur,Apartment,2.0,1080,5500000.0,5092.592592592592,3,1
Altis Ashraya,Chennai,Mangadu,Apartment,2.0,970,6300000.0,6494.845360824742,3,0
KG Signature City,Chennai,Mogappair,Apartment,1.0,620,4200000.0,6774.193548387097,2,0
KG Earth Homes,Chennai,Siruseri,Apartment,1.0,570,1950000.0,3421.0526315789475,2,1
MP Urban,Chennai,Anakaputhur,Apartment,2.0,940,5500000.0,5851.063829787234,3,1
Casagrand Arena,Chennai,Oragadam Sriperambattur,Villa,3.0,1497,9900000.0,6613.226452905812,3,0
Akshaya Today,Chennai,Senganmal,Apartment,2.0,986,4200000.0,4259.634888438134,3,0
Mahindra Nova,Chennai,Chettipunyam,Apartment,1.0,595,2400000.0,4033.6134453781515,2,1
"Sai Enclave ,Kumananchavadi, Chennai",Chennai,Kumananchavadi,Apartment,2.0,710,3800000.0,5352.112676056338,2,0
"ramus redidency,KK Nagar, Chennai",Chennai,KK Nagar,Apartment,2.0,980,11700000.0,11938.775510204081,3,0
"Nedunkundram, Chennai",Chennai,Nedunkundram,Villa,2.0,650,6000000.0,9230.76923076923,2,0
Twin Courtz,Chennai,Perungudi,Apartment,2.0,1080,7575000.0,7013.888888888889,3,1
"Housing ,TNHB Colony, Villivakkam,Chennai",Chennai,Villivakkam,Apartment,3.0,1400,7500000.0,5357.142857142857,3,0
 Coral Enclave,Chennai,Chromepet,Apartment,1.0,700,3800000.0,5428.571428571428,2,0
"Kalyanapuram, Ambattur,Chennai",Chennai,Ambattur,Apartment,2.0,840,5500000.0,6547.619047619048,3,0
"SRI DEVI NEDIL,Drivers Colony, T Nagar,Chennai",Chennai,T Nagar,Apartment,3.0,1987,38000000.0,19124.308002013084,3,1
"TAPAS,T Nagar, Chennai",Chennai,T Nagar,Apartment,3.0,1484,25000000.0,16846.361185983827,3,1
"AKB home ,Selaiyur, Chennai",Chennai,Selaiyur,Apartment,2.0,801,3329999.9999999995,4157.303370786516,3,0
"india builder,Kathiravan Colony, Anna Nagar,Chennai",Chennai,Anna Nagar,Apartment,3.0,1461,22500000.0,15400.41067761807,3,0
"Cheran Nagar, Perumbakkam,Chennai",Chennai,Perumbakkam,Villa,3.0,1290,8500000.0,6589.147286821705,3,0
"Guduvancheri, Chennai",Chennai,Guduvancheri,Apartment,2.0,875,3500000.0,4000.0,3,0
"Pinnacle Crest,Sholinganallur, Chennai",Chennai,Sholinganallur,Apartment,1.0,608,5000000.0,8223.684210526315,2,0
Mahindra Happinest,Chennai,Avadi,Apartment,2.0,650,3000000.0,4615.384615384615,2,1
CasaGrand The Address,Chennai,Karapakkam,Apartment,2.0,561,5000000.0,8912.6559714795,2,1
VGN Varna Bhoomi,Chennai,Pudupakkam,Villa,2.0,1250,6500000.0,5200.0,3,1
"Baskaran,Unamancheri, Kolapakkam, Kolapakkam - Vandalur,Chennai",Chennai,Kolapakkam - Vandalur,Apartment,2.0,1500,4000000.0,2666.6666666666665,3,0
"akshyam app,Irandam Kattalai, Thandalam,Chennai",Chennai,Thandalam,Apartment,2.0,760,4800000.0,6315.789473684211,2,1
Happy Homes Apartment,Chennai,Ambattur,Apartment,2.0,1070,6500000.0,6074.7663551401865,3,1
Alliance Jasmine Springs,Chennai,Kelambakkam,Apartment,1.0,462,2475000.0,5357.142857142857,2,0
"color avenue,Cheran Nagar, Perumbakkam,Chennai",Chennai,Perumbakkam,Apartment,2.0,935,4000000.0,4278.07486631016,3,0
Avighna Abode,Chennai,Madipakkam,Apartment,2.0,865,5870000.0,6786.127167630058,3,0
"Yeswanth Nagar, Madambakkam,Chennai",Chennai,Madambakkam,Apartment,2.0,830,4000000.0,4819.277108433735,3,0
"Kalanikethan apartments ,Aspiran Garden Colony, Kilpauk,Chennai",Chennai,Kilpauk,Apartment,3.0,1340,14500000.0,10820.89552238806,3,0
"Thangam apartment ,Kathiravan Colony, Anna Nagar,Chennai",Chennai,Anna Nagar,Apartment,3.0,1600,17500000.0,10937.5,3,1
SSPDL Crecent,Chennai,Kelambakkam,Apartment,3.0,1237,4400000.0,3556.992724333064,3,0
Isha Code Field Phase II,Chennai,Pudupakkam,Villa,2.0,979,5700000.0,5822.267620020429,3,0
 Anugraha Apartments,Chennai,Iyyappanthangal,Apartment,1.0,556,3200000.0,5755.395683453237,2,0
Chandran Casita,Chennai,Perumbakkam,Apartment,2.0,840,4500000.0,5357.142857142857,3,1
ProvidentCosmo City,Chennai,Pudupakkam,Apartment,3.0,1064,4100000.0,3853.3834586466164,3,0
"Akarsh flats,Anthony Nagar, Kolathur,Chennai",Chennai,Kolathur,Apartment,2.0,932,6500000.0,6974.248927038627,3,0
"Jothi towers,Cheran Nagar, Perumbakkam,Chennai",Chennai,Perumbakkam,Apartment,2.0,980,4500000.0,4591.836734693878,3,0
VGN Royale,Chennai,Avadi,Apartment,2.0,902,4100000.0,4545.454545454545,3,0
Lake View Apartment,Chennai,Ayappakkam,Apartment,2.0,949,4200000.0,4425.711275026343,3,0
"Adayalampet, Maduravoyal,Chennai",Chennai,Maduravoyal,Apartment,3.0,1245,7719000.0,6200.0,3,0
Navins Kaushik,Chennai,West Mambalam,Apartment,3.0,1269,16000000.0,12608.353033884949,3,1
Ambient Apts,Chennai,Kolathur,Apartment,2.0,2220,6500000.0,2927.927927927928,4,1
MP Tilda,Chennai,Kundrathur,Apartment,1.0,480,1850000.0,3854.1666666666665,2,0
"Ashvin Apartment,Poonamallee, Chennai",Chennai,Poonamallee,Apartment,2.0,900,5300000.0,5888.888888888889,3,0
"Hi Fi Enclave ,Iyyappanthangal, Chennai",Chennai,Iyyappanthangal,Apartment,3.0,1350,8600000.0,6370.37037037037,3,0
"Ak beryl,Kamakshi Nagar, Anakaputhur,Chennai",Chennai,Anakaputhur,Apartment,3.0,1238,6998999.999999999,5653.473344103392,3,0
Embassy Residency,Chennai,Perumbakkam,Apartment,2.0,1107,5700000.0,5149.051490514905,3,0
"Sri Sadhan Aynambakkam ,Agraharam, Kil Ayanambakkam,Chennai",Chennai,Kil Ayanambakkam,Apartment,2.0,908,5500000.0,6057.268722466961,3,1
AVR Coasta,Chennai,Mogappair,Villa,3.0,1250,7500000.0,6000.0,3,0
"VEMBULI FLATS,Sambanthanar Nagar, Pammal,Chennai",Chennai,Pammal,Apartment,2.0,980,5400000.0,5510.2040816326535,3,1
Sri Chakra Flats,Chennai,KK Nagar,Apartment,2.0,826,6400000.0,7748.18401937046,3,1
Krishna Apartment,Chennai,Ambattur,Apartment,2.0,840,6500000.0,7738.0952380952385,3,0
"NSB Homes,Saraswathipuram, Chromepet,Chennai",Chennai,Chromepet,Apartment,2.0,900,4570000.0,5077.777777777777,3,0
Akay Flats,Chennai,Kelambakkam,Apartment,2.0,690,3500000.0,5072.463768115942,2,0
Plaza Pristine Acres Phase 2,Chennai,Perumbakkam,Apartment,2.0,915,5400000.0,5901.639344262295,3,0
"Virutcham,Cheran Nagar, Perumbakkam,Chennai",Chennai,Perumbakkam,Apartment,2.0,800,4500000.0,5625.0,2,1
"Guna home,Dharan Singh Colony, Vadapalani,Chennai",Chennai,Vadapalani,Apartment,2.0,2400,10000000.0,4166.666666666667,4,1
Jain Sukriti,Chennai,Ambattur Industrial Estate,Apartment,1.0,608,4500000.0,7401.315789473684,2,1
"Vigneshwara Nagar, Tharapakkam,Chennai",Chennai,Tharapakkam,Apartment,2.0,900,4800000.0,5333.333333333333,3,0
Adithi Homes,Chennai,Maduravoyal,Apartment,2.0,840,5500000.0,6547.619047619048,3,0
Golden Treasure,Chennai,Maduravoyal,Apartment,2.0,1040,6600000.0,6346.153846153846,3,1
Ozone Greens,Chennai,Medavakkam,Apartment,1.0,800,2800000.0,3500.0,4,0
"Leelavathi Nagar, Tharapakkam,Chennai",Chennai,Tharapakkam,Villa,2.0,1050,6800000.0,6476.190476190476,3,0
SRN Flat,Chennai,Kodambakkam,Apartment,2.0,900,9600000.0,10666.666666666666,3,1
Sterling Bhandari,Chennai,Kattupakkam,Apartment,2.0,941,8000000.0,8501.594048884166,3,0
"JC shelters ,Perungalathur, Chennai",Chennai,Perungalathur,Apartment,2.0,822,4000000.0,4866.1800486618,3,1
